regWord,ipaWord,formality,formalityScore,totalSentenceCount
player,pleər,0,0.255474,137
explain,ɪksplen,0,0.291045,134
talked,tɔkt,0,0.253731,134
version,vərʒən,0,0.231343,134
lose,luz,0,0.295455,132
okay,oke,0,0.113636,132
posted,postəd,0,0.0454545,132
curious,kjʊriəs,0,0.227273,132
eventually,ɪvɛntʃəwəli,0,0.204545,132
happens,hæpənz,0,0.181818,132
feels,filz,0,0.221374,131
fellow,fɛlo,0,0.282443,131
towards,təwɔrdz,0,0.267176,131
appreciate,əpriʃiet,0,0.138462,130
recommend,rɛkəmɛnd,0,0.131783,129
hoping,hopɪŋ,0,0.141732,127
finding,fajndɪŋ,0,0.222222,126
hurt,hərt,0,0.206349,126
sick,sɪk,0,0.277778,126
tips,tɪps,0,0.0714286,126
sounds,sawndz,0,0.288,125
trip,trɪp,0,0.288,125
movies,muviz,0,0.138211,123
advance,ədvæns,0,0.276423,123
create,kriet,0,0.260163,123
fairly,fɛrli,0,0.260163,123
figured,fɪgjərd,0,0.0731707,123
hi,haj,0,0.0491803,122
stupid,stupəd,0,0.131148,122
thread,θrɛd,0,0.0901639,122
male,mel,0,0.231405,121
lots,lats,0,0.2,120
amazing,əmezɪŋ,0,0.125,120
stories,stɔriz,0,0.294118,119
loved,ləvd,0,0.252101,119
smoking,smokɪŋ,0,0.0508475,118
throw,θro,0,0.205128,117
website,wɛbsajt,0,0,116
conversation,kanvərseʃən,0,0.206897,116
players,pleərz,0,0.155172,116
mom,mam,0,0.0175439,114
extra,ɛkstrə,0,0.247788,113
laptop,læptap,0,0,113
decent,disənt,0,0.079646,113
turns,tərnz,0,0.241071,112
hopefully,hopfəli,0,0.0535714,112
tired,tajərd,0,0.252252,111
anywhere,ɛniwɛr,0,0.263636,110
driving,drajvɪŋ,0,0.263636,110
extremely,ɪkstrimli,0,0.290909,110
fix,fɪks,0,0.0909091,110
gotten,gatən,0,0.0818182,110
drunk,drəŋk,0,0.247706,109
greatly,gretli,0,0.266055,109
info,ɪnfo,0,0,109
missing,mɪsɪŋ,0,0.222222,108
via,vajə,0,0.261682,107
welcome,wɛlkəm,0,0.245283,106
drinking,drɪŋkɪŋ,0,0.283019,106
